name,balance,bankrollType,behaviorStyle,mood,blacklisted,pokerParticipation,pokerAggression,pokerSkill
Player-0065,454,EVEN_STEVEN,GRINDER,-0.2,false,0.52,0.48,0.75
Player-0066,881,EVEN_STEVEN,LOW_STAKES,0.39,false,0.21,0.17,0.39
Player-0067,5092,HIGH_ROLLER,WHALE,0.01,false,0.85,0.98,0.49
Player-0068,452,EVEN_STEVEN,GRINDER,-0.17,false,0.53,0.51,0.76
Player-0069,167,LOW_ROLLER,LOW_STAKES,-0.16,false,0.29,0.12,0.39
Player-0070,270,LOW_ROLLER,LOW_STAKES,-0.0,false,0.23,0.14,0.37
Player-0071,1586,EVEN_STEVEN,OBNOXIOUS,0.02,true,0.23,0.45,0.3
Player-0072,1251,EVEN_STEVEN,LOW_STAKES,0.08,false,0.2,0.12,0.37
Player-0073,8322,HIGH_ROLLER,WHALE,-0.01,false,0.88,0.94,0.5
Player-0074,177,LOW_ROLLER,LOW_STAKES,0.34,false,0.27,0.16,0.36
Player-0075,176,LOW_ROLLER,OBNOXIOUS,0.01,false,0.23,0.47,0.3
Player-0076,540,EVEN_STEVEN,GRINDER,0.39,false,0.6,0.52,0.76
Player-0077,325,LOW_ROLLER,LOW_STAKES,0.01,false,0.28,0.19,0.36
Player-0078,183,LOW_ROLLER,LOW_STAKES,0.08,false,0.3,0.17,0.42
Player-0079,268,LOW_ROLLER,LOW_STAKES,-0.1,false,0.27,0.2,0.41
Player-0080,468,LOW_ROLLER,LOW_STAKES,0.01,false,0.28,0.19,0.44
Player-0081,161,LOW_ROLLER,LOW_STAKES,-0.08,false,0.27,0.18,0.44
Player-0082,1680,EVEN_STEVEN,GRINDER,-0.15,false,0.59,0.51,0.73
Player-0083,153,LOW_ROLLER,LOW_STAKES,0.28,false,0.24,0.2,0.38
Player-0084,547,EVEN_STEVEN,GRINDER,0.07,false,0.51,0.51,0.76
Player-0085,572,LOW_ROLLER,OBNOXIOUS,-0.04,false,0.23,0.45,0.31
Player-0086,1111,EVEN_STEVEN,GRINDER,0.12,false,0.59,0.54,0.78
Player-0087,450,EVEN_STEVEN,GRINDER,0.28,false,0.51,0.51,0.78
Player-0088,12956,HIGH_ROLLER,GRINDER,-0.23,false,0.59,0.5,0.76
Player-0089,176,LOW_ROLLER,LOW_STAKES,0.35,false,0.28,0.16,0.41
Player-0090,331,LOW_ROLLER,LOW_STAKES,0.07,false,0.29,0.19,0.37
Player-0091,653,EVEN_STEVEN,GRINDER,0.42,false,0.6,0.49,0.72
Player-0092,12437,HIGH_ROLLER,OBNOXIOUS,0.3,false,0.22,0.48,0.34
Player-0093,515,LOW_ROLLER,LOW_STAKES,0.47,false,0.26,0.1,0.38
Player-0094,150,LOW_ROLLER,LOW_STAKES,-0.06,false,0.23,0.19,0.37
Player-0095,1773,EVEN_STEVEN,GRINDER,0.28,false,0.52,0.48,0.79
Player-0096,453,EVEN_STEVEN,OBNOXIOUS,-0.19,false,0.25,0.49,0.26
Player-0097,605,EVEN_STEVEN,LOW_STAKES,0.39,false,0.29,0.19,0.37
Player-0098,158,LOW_ROLLER,LOW_STAKES,0.27,false,0.27,0.17,0.41
Player-0099,587,EVEN_STEVEN,LOW_STAKES,0.38,false,0.27,0.17,0.36
Player-0100,213,LOW_ROLLER,LOW_STAKES,-0.1,false,0.28,0.13,0.44
Player-0101,202,LOW_ROLLER,OBNOXIOUS,0.32,true,0.16,0.41,0.31
Player-0102,195,LOW_ROLLER,LOW_STAKES,-0.17,false,0.24,0.16,0.38
Player-0103,178,LOW_ROLLER,LOW_STAKES,-0.25,false,0.2,0.19,0.37
Player-0104,151,LOW_ROLLER,LOW_STAKES,0.34,false,0.28,0.19,0.35
Player-0105,451,EVEN_STEVEN,OBNOXIOUS,0.5,false,0.21,0.47,0.26
Player-0106,453,EVEN_STEVEN,GRINDER,-0.05,false,0.54,0.49,0.75
Player-0107,1323,EVEN_STEVEN,OBNOXIOUS,-0.04,false,0.16,0.41,0.32
Player-0108,374,LOW_ROLLER,LOW_STAKES,0.27,false,0.26,0.18,0.42
Player-0109,150,LOW_ROLLER,LOW_STAKES,0.43,false,0.23,0.15,0.43
Player-0110,152,LOW_ROLLER,OBNOXIOUS,0.07,false,0.18,0.42,0.34
Player-0111,494,EVEN_STEVEN,LOW_STAKES,0.44,false,0.3,0.11,0.43
Player-0112,493,EVEN_STEVEN,GRINDER,-0.05,false,0.58,0.52,0.78
Player-0113,497,EVEN_STEVEN,GRINDER,-0.06,false,0.5,0.5,0.73
Player-0114,179,LOW_ROLLER,LOW_STAKES,-0.12,false,0.28,0.18,0.39
Player-0115,268,LOW_ROLLER,OBNOXIOUS,0.34,false,0.21,0.44,0.32
Player-0116,150,LOW_ROLLER,LOW_STAKES,0.4,false,0.22,0.13,0.37
Player-0117,1076,EVEN_STEVEN,GRINDER,-0.02,false,0.54,0.55,0.78
Player-0118,3033,HIGH_ROLLER,OBNOXIOUS,0.43,false,0.16,0.49,0.35
Player-0119,706,EVEN_STEVEN,GRINDER,0.41,false,0.53,0.46,0.7
Player-0120,514,EVEN_STEVEN,GRINDER,-0.02,false,0.58,0.5,0.71
Player-0121,954,EVEN_STEVEN,LOW_STAKES,0.42,false,0.24,0.11,0.42
Player-0122,1630,EVEN_STEVEN,GRINDER,0.06,false,0.54,0.45,0.78
Player-0123,298,LOW_ROLLER,LOW_STAKES,0.07,false,0.22,0.15,0.38
Player-0124,745,EVEN_STEVEN,LOW_STAKES,-0.18,false,0.27,0.11,0.45
Player-0125,1206,EVEN_STEVEN,OBNOXIOUS,0.13,false,0.17,0.47,0.35
Player-0126,303,LOW_ROLLER,OBNOXIOUS,-0.14,false,0.24,0.43,0.27
Player-0127,1209,EVEN_STEVEN,OBNOXIOUS,0.24,false,0.23,0.43,0.31
Player-0128,1727,EVEN_STEVEN,LOW_STAKES,-0.14,false,0.26,0.18,0.37
Player-0129,451,EVEN_STEVEN,OBNOXIOUS,-0.23,false,0.17,0.43,0.29
Player-0130,166,LOW_ROLLER,LOW_STAKES,0.12,false,0.22,0.12,0.35
Player-0131,1183,EVEN_STEVEN,OBNOXIOUS,-0.14,false,0.22,0.45,0.32
Player-0132,498,LOW_ROLLER,LOW_STAKES,0.21,false,0.24,0.1,0.37
Player-0133,151,LOW_ROLLER,LOW_STAKES,-0.11,false,0.24,0.17,0.38
Player-0134,312,LOW_ROLLER,OBNOXIOUS,-0.09,false,0.24,0.48,0.33
Player-0135,602,EVEN_STEVEN,OBNOXIOUS,0.36,false,0.24,0.49,0.31
Player-0136,270,LOW_ROLLER,LOW_STAKES,-0.24,false,0.28,0.16,0.44
Player-0137,470,EVEN_STEVEN,LOW_STAKES,-0.21,false,0.23,0.2,0.35
Player-0138,454,EVEN_STEVEN,OBNOXIOUS,0.36,false,0.21,0.42,0.29
Player-0139,194,LOW_ROLLER,LOW_STAKES,0.23,false,0.24,0.13,0.45
Player-0140,23876,HIGH_ROLLER,GRINDER,-0.19,false,0.59,0.49,0.71
Player-0141,3517,HIGH_ROLLER,GRINDER,0.06,false,0.54,0.53,0.75
Player-0142,450,EVEN_STEVEN,GRINDER,0.07,false,0.54,0.48,0.78
Player-0143,908,EVEN_STEVEN,GRINDER,0.31,false,0.57,0.52,0.76
Player-0144,439,LOW_ROLLER,OBNOXIOUS,0.46,false,0.17,0.42,0.32
Player-0145,3614,HIGH_ROLLER,GRINDER,0.16,false,0.55,0.49,0.76
Player-0146,14229,HIGH_ROLLER,OBNOXIOUS,0.07,false,0.17,0.42,0.33
Player-0147,256,LOW_ROLLER,OBNOXIOUS,0.07,false,0.24,0.5,0.26
Player-0148,1715,EVEN_STEVEN,GRINDER,0.02,false,0.52,0.53,0.74
Player-0149,186,LOW_ROLLER,OBNOXIOUS,0.5,false,0.18,0.43,0.33
Player-0150,472,EVEN_STEVEN,GRINDER,-0.0,false,0.58,0.55,0.74
Player-0151,150,LOW_ROLLER,OBNOXIOUS,0.03,false,0.18,0.41,0.34
Player-0152,231,LOW_ROLLER,LOW_STAKES,0.14,false,0.29,0.19,0.42
Player-0153,1066,EVEN_STEVEN,GRINDER,0.02,false,0.58,0.48,0.74
Player-0154,150,LOW_ROLLER,OBNOXIOUS,-0.11,false,0.17,0.45,0.3
Player-0155,169,LOW_ROLLER,LOW_STAKES,-0.25,false,0.28,0.12,0.39
Player-0156,236,LOW_ROLLER,LOW_STAKES,-0.21,false,0.3,0.16,0.4
Player-0157,346,LOW_ROLLER,LOW_STAKES,0.21,false,0.21,0.15,0.38
Player-0158,211,LOW_ROLLER,LOW_STAKES,-0.17,false,0.26,0.14,0.42
Player-0159,559,EVEN_STEVEN,LOW_STAKES,0.42,false,0.25,0.15,0.39
Player-0160,1193,EVEN_STEVEN,OBNOXIOUS,0.06,false,0.23,0.47,0.28
Player-0161,164,LOW_ROLLER,LOW_STAKES,-0.09,false,0.23,0.11,0.38
Player-0162,174,LOW_ROLLER,OBNOXIOUS,0.32,false,0.24,0.45,0.25
Player-0163,151,LOW_ROLLER,LOW_STAKES,0.47,false,0.3,0.14,0.38
Player-0164,164,LOW_ROLLER,OBNOXIOUS,0.19,false,0.2,0.49,0.34
Player-0165,314,LOW_ROLLER,LOW_STAKES,0.01,false,0.26,0.11,0.36
Player-0166,962,EVEN_STEVEN,OBNOXIOUS,0.43,false,0.23,0.43,0.3
Player-0167,585,EVEN_STEVEN,GRINDER,0.11,false,0.5,0.46,0.78
Player-0168,476,EVEN_STEVEN,GRINDER,-0.07,false,0.54,0.55,0.75
Player-0169,380,LOW_ROLLER,LOW_STAKES,0.27,false,0.27,0.18,0.39
Player-0170,161,LOW_ROLLER,OBNOXIOUS,0.34,false,0.17,0.45,0.33
Player-0171,499,LOW_ROLLER,LOW_STAKES,0.29,true,0.29,0.13,0.41
Player-0172,313,LOW_ROLLER,OBNOXIOUS,-0.02,false,0.17,0.4,0.32
Player-0173,344,LOW_ROLLER,LOW_STAKES,-0.15,false,0.25,0.12,0.36
Player-0174,187,LOW_ROLLER,LOW_STAKES,0.16,false,0.25,0.13,0.35
Player-0175,266,LOW_ROLLER,OBNOXIOUS,-0.11,false,0.16,0.45,0.33
Player-0176,216,LOW_ROLLER,OBNOXIOUS,-0.05,false,0.16,0.43,0.33
Player-0177,512,EVEN_STEVEN,GRINDER,-0.0,false,0.53,0.53,0.76
Player-0178,782,EVEN_STEVEN,LOW_STAKES,0.17,false,0.25,0.13,0.37
Player-0179,515,LOW_ROLLER,OBNOXIOUS,0.48,false,0.18,0.44,0.28
Player-0180,18253,HIGH_ROLLER,OBNOXIOUS,0.14,false,0.22,0.49,0.32
Player-0181,9214,HIGH_ROLLER,OBNOXIOUS,0.2,false,0.23,0.44,0.33
Player-0182,572,LOW_ROLLER,OBNOXIOUS,-0.1,false,0.18,0.41,0.26
Player-0183,544,LOW_ROLLER,LOW_STAKES,0.16,false,0.22,0.17,0.38
Player-0184,449,LOW_ROLLER,OBNOXIOUS,-0.21,false,0.18,0.47,0.28
Player-0185,451,EVEN_STEVEN,OBNOXIOUS,0.24,false,0.23,0.47,0.28
Player-0186,297,LOW_ROLLER,LOW_STAKES,0.4,false,0.28,0.18,0.37
Player-0187,283,LOW_ROLLER,LOW_STAKES,0.12,false,0.24,0.11,0.38
Player-0188,1221,EVEN_STEVEN,GRINDER,0.27,false,0.56,0.55,0.76
Player-0189,196,LOW_ROLLER,LOW_STAKES,0.25,false,0.21,0.13,0.44
Player-0190,521,EVEN_STEVEN,LOW_STAKES,-0.2,false,0.2,0.18,0.36
Player-0191,178,LOW_ROLLER,LOW_STAKES,-0.2,true,0.22,0.16,0.39
Player-0192,170,LOW_ROLLER,LOW_STAKES,0.3,false,0.2,0.18,0.36
Player-0193,203,LOW_ROLLER,LOW_STAKES,-0.17,false,0.27,0.18,0.45
Player-0194,517,EVEN_STEVEN,LOW_STAKES,0.24,false,0.28,0.19,0.41
Player-0195,506,EVEN_STEVEN,OBNOXIOUS,-0.0,false,0.21,0.46,0.3
Player-0196,1118,EVEN_STEVEN,LOW_STAKES,0.41,false,0.24,0.2,0.38
Player-0197,454,LOW_ROLLER,LOW_STAKES,-0.01,false,0.27,0.15,0.4
Player-0198,7722,HIGH_ROLLER,WHALE,0.08,false,0.9,0.94,0.49
Player-0199,1142,EVEN_STEVEN,GRINDER,0.26,false,0.56,0.48,0.79
Player-0200,226,LOW_ROLLER,LOW_STAKES,0.17,false,0.29,0.11,0.4
Player-0201,152,LOW_ROLLER,OBNOXIOUS,0.24,false,0.2,0.44,0.26
Player-0202,150,LOW_ROLLER,LOW_STAKES,0.39,false,0.23,0.1,0.44
Player-0203,163,LOW_ROLLER,OBNOXIOUS,0.18,false,0.23,0.49,0.31
Player-0204,3027,HIGH_ROLLER,GRINDER,0.26,false,0.55,0.51,0.73
Player-0205,794,EVEN_STEVEN,OBNOXIOUS,0.15,false,0.23,0.45,0.26
Player-0206,6798,HIGH_ROLLER,WHALE,-0.1,false,0.89,0.98,0.45
Player-0207,533,EVEN_STEVEN,GRINDER,0.31,false,0.53,0.54,0.78
Player-0208,1093,EVEN_STEVEN,OBNOXIOUS,0.32,false,0.18,0.47,0.34
Player-0209,1040,EVEN_STEVEN,GRINDER,0.1,false,0.57,0.5,0.72
Player-0210,6577,HIGH_ROLLER,WHALE,0.38,false,0.9,0.9,0.53
Player-0211,1034,EVEN_STEVEN,GRINDER,0.13,false,0.53,0.46,0.76
Player-0212,584,LOW_ROLLER,LOW_STAKES,0.04,false,0.21,0.12,0.36
Player-0213,1189,EVEN_STEVEN,GRINDER,-0.04,false,0.51,0.46,0.72
Player-0214,491,EVEN_STEVEN,LOW_STAKES,-0.13,false,0.27,0.16,0.37
Player-0215,164,LOW_ROLLER,LOW_STAKES,-0.0,false,0.22,0.14,0.43
Player-0216,390,LOW_ROLLER,OBNOXIOUS,0.21,false,0.2,0.48,0.35
Player-0217,212,LOW_ROLLER,OBNOXIOUS,0.27,false,0.19,0.47,0.35
Player-0218,216,LOW_ROLLER,LOW_STAKES,-0.22,false,0.27,0.16,0.42
Player-0219,617,EVEN_STEVEN,LOW_STAKES,-0.07,false,0.27,0.16,0.37
Player-0220,150,LOW_ROLLER,LOW_STAKES,0.18,false,0.27,0.14,0.4
Player-0221,243,LOW_ROLLER,LOW_STAKES,-0.08,false,0.26,0.15,0.37
Player-0222,1008,EVEN_STEVEN,GRINDER,-0.16,false,0.53,0.51,0.75
Player-0223,175,LOW_ROLLER,LOW_STAKES,0.27,false,0.29,0.15,0.44
Player-0224,586,LOW_ROLLER,LOW_STAKES,-0.02,false,0.24,0.16,0.44
Player-0225,150,LOW_ROLLER,LOW_STAKES,0.21,false,0.22,0.15,0.39
Player-0226,427,LOW_ROLLER,OBNOXIOUS,0.19,false,0.24,0.44,0.28
Player-0227,310,LOW_ROLLER,LOW_STAKES,0.31,false,0.21,0.17,0.44
Player-0228,1740,EVEN_STEVEN,GRINDER,0.48,false,0.59,0.45,0.77
Player-0229,497,LOW_ROLLER,LOW_STAKES,-0.21,false,0.27,0.15,0.39
Player-0230,350,LOW_ROLLER,LOW_STAKES,0.18,false,0.25,0.16,0.37
Player-0231,495,EVEN_STEVEN,OBNOXIOUS,0.04,false,0.2,0.43,0.26
Player-0232,451,EVEN_STEVEN,GRINDER,0.05,false,0.53,0.5,0.79
Player-0233,521,EVEN_STEVEN,LOW_STAKES,0.22,false,0.26,0.11,0.36
Player-0234,498,EVEN_STEVEN,LOW_STAKES,-0.21,false,0.23,0.1,0.35
Player-0235,236,LOW_ROLLER,OBNOXIOUS,-0.23,false,0.18,0.46,0.32
Player-0236,164,LOW_ROLLER,OBNOXIOUS,0.25,false,0.2,0.44,0.27
Player-0237,242,LOW_ROLLER,LOW_STAKES,0.41,false,0.3,0.14,0.41
Player-0238,211,LOW_ROLLER,LOW_STAKES,0.31,false,0.2,0.13,0.38
Player-0239,541,LOW_ROLLER,LOW_STAKES,-0.08,false,0.23,0.14,0.4
Player-0240,374,LOW_ROLLER,LOW_STAKES,0.32,false,0.22,0.17,0.44
Player-0241,1048,EVEN_STEVEN,GRINDER,-0.03,false,0.5,0.48,0.74
Player-0242,450,EVEN_STEVEN,GRINDER,0.23,true,0.53,0.52,0.75
Player-0243,490,EVEN_STEVEN,LOW_STAKES,-0.13,false,0.28,0.11,0.38
Player-0244,481,LOW_ROLLER,LOW_STAKES,0.06,false,0.21,0.2,0.36
Player-0245,633,EVEN_STEVEN,LOW_STAKES,-0.04,false,0.29,0.12,0.44
Player-0246,156,LOW_ROLLER,LOW_STAKES,0.15,false,0.25,0.11,0.38
Player-0247,152,LOW_ROLLER,LOW_STAKES,0.17,false,0.2,0.18,0.36
Player-0248,593,EVEN_STEVEN,OBNOXIOUS,-0.18,false,0.15,0.49,0.31
Player-0249,155,LOW_ROLLER,OBNOXIOUS,0.02,false,0.2,0.44,0.33
Player-0250,381,LOW_ROLLER,OBNOXIOUS,-0.2,false,0.22,0.48,0.34
Player-0251,301,LOW_ROLLER,LOW_STAKES,0.08,false,0.25,0.15,0.38
Player-0252,1450,EVEN_STEVEN,LOW_STAKES,0.03,false,0.27,0.13,0.43
Player-0253,1009,EVEN_STEVEN,LOW_STAKES,-0.2,false,0.29,0.17,0.43
Player-0254,213,LOW_ROLLER,OBNOXIOUS,0.46,false,0.17,0.42,0.28
Player-0255,596,EVEN_STEVEN,OBNOXIOUS,0.26,false,0.24,0.49,0.25
Player-0256,303,LOW_ROLLER,OBNOXIOUS,0.43,false,0.2,0.49,0.27
Player-0257,203,LOW_ROLLER,LOW_STAKES,-0.22,false,0.26,0.16,0.44
Player-0258,168,LOW_ROLLER,OBNOXIOUS,-0.21,false,0.16,0.48,0.26
Player-0259,512,EVEN_STEVEN,OBNOXIOUS,0.22,false,0.17,0.47,0.32
Player-0260,253,LOW_ROLLER,LOW_STAKES,0.38,false,0.28,0.15,0.36
Player-0261,1710,EVEN_STEVEN,GRINDER,-0.15,false,0.51,0.5,0.72
Player-0262,1462,EVEN_STEVEN,OBNOXIOUS,0.15,false,0.22,0.44,0.31
Player-0263,251,LOW_ROLLER,LOW_STAKES,-0.09,false,0.24,0.19,0.45
Player-0264,534,EVEN_STEVEN,GRINDER,0.44,false,0.56,0.52,0.73
Player-0265,3689,HIGH_ROLLER,OBNOXIOUS,0.28,false,0.21,0.49,0.34
Player-0266,176,LOW_ROLLER,LOW_STAKES,0.07,false,0.24,0.16,0.37
Player-0267,179,LOW_ROLLER,LOW_STAKES,0.28,false,0.23,0.18,0.39
Player-0268,1007,EVEN_STEVEN,LOW_STAKES,0.33,false,0.22,0.19,0.38
Player-0269,591,LOW_ROLLER,OBNOXIOUS,0.25,false,0.15,0.48,0.32
Player-0270,1668,EVEN_STEVEN,LOW_STAKES,0.36,false,0.24,0.16,0.38
Player-0271,1438,EVEN_STEVEN,GRINDER,0.42,false,0.53,0.46,0.73
Player-0272,798,EVEN_STEVEN,GRINDER,0.26,false,0.54,0.46,0.77
Player-0273,158,LOW_ROLLER,OBNOXIOUS,0.0,false,0.16,0.45,0.31
Player-0274,648,EVEN_STEVEN,GRINDER,0.16,false,0.53,0.49,0.77
Player-0275,303,LOW_ROLLER,LOW_STAKES,-0.13,false,0.21,0.11,0.39
Player-0276,410,LOW_ROLLER,LOW_STAKES,0.01,false,0.26,0.16,0.41
Player-0277,3522,HIGH_ROLLER,GRINDER,-0.19,false,0.55,0.55,0.71
Player-0278,167,LOW_ROLLER,LOW_STAKES,0.45,false,0.21,0.14,0.38
Player-0279,1029,EVEN_STEVEN,GRINDER,0.38,false,0.51,0.47,0.76
Player-0280,1038,EVEN_STEVEN,GRINDER,0.04,false,0.56,0.53,0.72
Player-0281,466,EVEN_STEVEN,GRINDER,0.11,false,0.56,0.5,0.72
Player-0282,659,EVEN_STEVEN,GRINDER,-0.05,false,0.57,0.55,0.8
Player-0283,550,EVEN_STEVEN,OBNOXIOUS,0.35,false,0.18,0.5,0.31
Player-0284,486,EVEN_STEVEN,OBNOXIOUS,-0.14,false,0.24,0.48,0.27
Player-0285,17280,HIGH_ROLLER,OBNOXIOUS,0.35,false,0.17,0.42,0.27
Player-0286,156,LOW_ROLLER,OBNOXIOUS,0.38,false,0.18,0.41,0.27
Player-0287,175,LOW_ROLLER,OBNOXIOUS,-0.2,false,0.23,0.42,0.31
Player-0288,491,LOW_ROLLER,LOW_STAKES,0.03,false,0.25,0.14,0.37
Player-0289,175,LOW_ROLLER,LOW_STAKES,0.4,false,0.28,0.15,0.39
Player-0290,153,LOW_ROLLER,LOW_STAKES,-0.02,false,0.22,0.15,0.4
Player-0291,264,LOW_ROLLER,OBNOXIOUS,0.32,false,0.17,0.47,0.27
Player-0292,505,EVEN_STEVEN,GRINDER,0.33,false,0.53,0.52,0.74
Player-0293,510,LOW_ROLLER,OBNOXIOUS,0.49,false,0.19,0.46,0.29
Player-0294,3785,HIGH_ROLLER,OBNOXIOUS,0.34,false,0.23,0.47,0.33
Player-0295,153,LOW_ROLLER,LOW_STAKES,0.47,false,0.23,0.16,0.35
Player-0296,800,EVEN_STEVEN,GRINDER,-0.05,false,0.52,0.49,0.74
Player-0297,331,LOW_ROLLER,LOW_STAKES,-0.12,false,0.22,0.18,0.45
Player-0298,179,LOW_ROLLER,OBNOXIOUS,0.32,false,0.24,0.41,0.31
Player-0299,564,LOW_ROLLER,LOW_STAKES,0.41,false,0.21,0.19,0.4
Player-0300,653,EVEN_STEVEN,OBNOXIOUS,-0.01,false,0.21,0.5,0.28
Player-0301,499,EVEN_STEVEN,GRINDER,0.21,false,0.55,0.54,0.77
Player-0302,283,LOW_ROLLER,LOW_STAKES,-0.07,false,0.24,0.17,0.39
Player-0303,757,EVEN_STEVEN,LOW_STAKES,0.21,false,0.25,0.1,0.36
Player-0304,161,LOW_ROLLER,LOW_STAKES,0.27,false,0.22,0.17,0.37
